30	22272+6358	108.18+5.51	255	2007	22	28	52.24	64	13	43.36	52.00	50.06	1.50	1.50	1	0.56	-10.26	2.24	-0.01	0.188	0.567	1.882	3.57E-012	3.57E-012	1.28E-003	1.28E-003	0.00E+000	0.00E+000	-10.90	91.00	47.4		-	-	-	-10.00	2.50	0.90	2.40	-	-	-	-	
32	22566+5830	108.75-0.96	256	2006	22	58	41.31	58	46	57.12	63.25	59.40	4.90	4.90	1?	0.73	-50.42	3.16	0.00	0.200	1.043	2.064	5.91E-011	5.91E-011	4.96E-002	4.96E-002	3.25E-003	3.25E-003	-45.70	2.80	1.3		-50.30	2.64	3.20	-	-	-	-	-	-	-	-	
31	22543+6145	109.86+2.10	257	2006	22	56	19.14	62	1	57.32	66.00	61.68	0.50	0.50	1?	1.16	-10.66	4.38	0.44	0.239	2.297	3.156	1.30E-012	1.30E-012	4.82E-003	4.82E-003	8.15E-005	8.15E-005	-10.50	815.00	812.5		-11.10	5.05	4.50	-	-	-	-	-	-	-	-	
33	23116+6111	111.53+0.76	260	2008	23	13	44.72	61	28	9.66	63.00	59.19	2.70	2.70	1	2.31	-57.39	4.70	0.06	0.136	4.908	6.553	8.47E-011	8.47E-011	1.23E-001	1.23E-001	2.67E-002	2.67E-002	-56.30	296.00	475.3		-57.20	6.42	4.50	-57.00	5.30	5.40	30.20	-	-	-	-	
1	00338+6312	121.28+0.65	261	2007	0	36	47.50	63	29	2.00	58.56	55.50	2.10	2.10	1	0.77	-17.42	3.78	0.00	0.181	1.316	2.331	1.46E-011	1.46E-011	2.46E-003	2.46E-003	1.16E-004	1.16E-004	-22.40	14.00	7.6		-17.70	3.40	4.20	-	-	-	-					multipeack
2	00494+5617	123.05-6.31	262	2007	0	52	23.70	56	33	45.30	62.50	58.78	2.70	2.70	1	0.52	-30.30	4.62	0.15	0.183	1.086	1.486	1.89E-011	1.89E-011	4.33E-003	4.33E-003	0.00E+000	0.00E+000	-29.10	24.00	19.5		-	-	-	-30.70	5.00	2.30	12.20					
4	02232+6138	133.94+1.04	263	2006	2	27	3.85	61	52	25.42	56.78	54.03	4.50	4.50	1	0.53	-48.07	3.06	-0.19	0.121	0.733	1.649	3.85E-011	3.85E-011	2.65E-001	2.65E-001	1.04E-002	1.04E-002	-44.6	3741	7602.0		-46.40	6.33	5.30									
6	05358+3543	173.49+2.42	265	2006	5	39	10.39	35	45	19.24	63.07	59.25	11.00	11.00	1?	1.44	-17.29	2.32	0.00	0.410	1.510	4.081	4.32E-010	4.32E-010	1.50E-001	1.50E-001	2.57E-003	2.57E-003	-13.60	256.00	198.6		-17.60	3.75	4.00	-17.10	7.70	0.90	7.10	-16.30	6.50	35.90	5.10	
7	05382+3547	173.69+2.87	266	2008	5	41	33.8	35	48	27	59.46	56.25	21.50	21.50	1	0.25	-19.49	2.09	-0.84	0.099	0.236	0.747	2.72E-010	2.72E-010	1.68E-001	1.68E-001	7.57E-003	7.57E-003	-24.1	7.5	3.0													
5	05274+3345	174.19-0.09	268	2006	5	30	45.63	33	47	51.64	64.00	60.02	-	-	1	0.33	2.10	2.29	0.00	0.235	0.342	0.923	#VALUE!	#VALUE!	0.00E+000	0.00E+000	0.00E+000	0.00E+000	2.10	9.40	56.0		-3.50	3.45	3.50	-	-	-	-	-	-	-	-	
10	06061+2151	188.79+1.02	270	2006	6	9	7.81	21	50	38.65	45.50	44.67	-	-	1?	0.76	0.01	2.66	0.47	0.256	0.914	2.868	#VALUE!	#VALUE!	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.50	4.80	3.6		-0.70	2.72	3.00	-	-	-	-	-	-	-	-	
9	06056+2131	189.03+0.76	272	2006	6	8	36.10	21	30	28.00		6.90	3.40	3.40	1?	1.54	2.90	2.67	0.20	0.135	1.859		4.36E-010	4.36E-010	3.71E-002	3.71E-002	6.33E-003	6.33E-003	9.20	19.00	11.7		2.50	4.60	3.10									
8	06055+2039	189.78+0.34	273	2007	6	8	32.80	20	39	16.20	54.61	52.23	1.80	1.80	1	0.55	8.83	2.92	0.42	0.120	0.726	1.771	6.31E-012	6.31E-012	5.39E-003	5.39E-003	2.28E-004	2.28E-004	5.50	17.00	10.3		8.80	1.68	3.20	-	-	-	-					
11	06099+1800	192.60-0.05	274	2007	6	12	53.30	17	59	22.08	61.86	58.24	1.10	1.10	1	0.35	6.39	3.12	0.00	0.163	0.494	1.009	1.44E-012	1.44E-012	7.05E-003	7.05E-003	1.75E-003	1.75E-003	5.10	64.00	48.8		-	-	-	7.50	2.80	3.20	9.60					
3	02219+6152  xu(133.72+01.22) -	2007	2	25	41.88	62	6	5.06	50.70	48.98	-	-	1	0.56	-39.60	7.19	-0.14	0.239	1.820	1.924	#VALUE!	#VALUE!					-44.30	5.00			-	-	-	-	-	-	-	-	-	-	-	
