 37.479+0.105 18 57 37.79 3 55 38.4 1950 59 valt 37.47-0.11 - - - 19 0 7 3 59 53 - 0.31 - - 18574+0355__N_EGO_1__[CWH]__
 39.10+0.491 18 58 30.83 5 38 25.8 1950 26.14 valt 39.10+0.48 - - - 19 0 58,1 5 42 44 - 7.26 - - 18585+0538_N_EGO_1_[CWH]__
 40.494+2.541 18 53 46 7 49 16 1950 33.3 valt - - - - 18 56 10,74 7 53 14,1 - 27.6 - - 18537+0749_S76E
 41.377+0.038 19 4 22.34 7 26 55.2 1950 58.69 valt - - - - 19 6 47,6 7 31 38 - _2.5 - - 19043+0726_Mol_93
 43.04-0.452 19 9 14.9 8 41 34.7 1950 58 valt 43.02-0.44 - - - 19 11 38,81 8 46 37,9 - 1.62 - - 19092+0841_N_N_EGO_4ab_[CWH]___Mol_98
 43.167+0.011 19 7 49.8 9 1 17 1950 15.57 valt 43.15+0.02 - - - 19 10 13,31 9 6 14,3 - 9.0 - - W49N
 43.304-0.208 19 8 52.4 9 2 25.4 1950 58.67 valt - - - - 19 11 15,9 9 7 27 - 10 - - 19088+0902_Mol_97
 45.07+0.13 19 11 0.48 10 45 48.58 1950 59.3 valt 45.07+0.13 y 0 r 19 13 22,05 10 50 59 - 1.89 - - 19110+1045_19111+1048
 45.47+0.07 19 12 4.5 11 4 22.46 1950 55.9 valt 45.44+0.07 y 1 r 19 14 25,73 11 9 37,3 - 0.27 - - 19120+1103_Y_EGO_1_[CWH]_
 49.267-0.337 19 20 48.95 14 14 22.2 1950 67.14 valt - y 0 r 19 23 6,7 14 20 13 - 0.65 - - Y__EGO_1__[CWH]
 49.472-0.371 19 21 20.5 14 24 12 1950 66.72 valt 49.49-0.39 y - - 19 23 38,08 14 30 4,9 - 14.0 - - 19213+1424_W51-Met5
 49.473-0.396 19 21 26.2 14 23 32 1950 56 valt 49.49-0.39 y - - 19 23 43,79 14 29 25,3 - 16.0 - - W51-Met1
 49.48-0.398 19 21 27.5 14 23 52 1950 53.95 valt 49.49-0.39 y - - 19 23 45,09 14 29 45,4 - 19.0 - - W51-Met3
 49.481-0.404 19 21 28.8 14 23 47 1950 56.67 valt 49.49-0.39 y - - 19 23 46,39 14 29 40,5 - 21.0 - - W51-Met2
 49.485-0.359 19 21 19.6 14 25 14.95 1950 60 valt 49.47-0.37 y 3 r 19 23 37,16 14 31 7,8 - 3.45 - - 19213+1424_W51N
 49.49-0.387 19 21 26.2 14 24 43 1950 48.88 valt 49.49-0.39 y 3 r 19 23 43,77 14 30 36,3 - 104. - - 19213+1424_W51e1/e2,W51Main/S
 53.032+0.117 19 26 40.23 17 45 41.5 1950 6.1 valt 53.01+0.12 y 0 r 19 28 54 17 51 56 - 5.6 - - 19266+1745___
 59.78+0.06 19 41 4.2 23 36 42 1950 22.59 valt 59.78+0.06 y 2 - 19 43 11,47 23 43 53,9 - 3.7/14 - - 19410+2336
 59.832+0.671 19 38 52.6 23 57 35.8 1950 35.4 valt 59.84+0.66 y 0 r 19 40 59,3 24 4 39 - 1.8 - - 19388+2357_Mol_110
 65.768-2.594 20 4 56.52 27 20 9.5 1950 6.6 valt - - - - 20 7 0,67 27 28 53 - 2.0 - - 20050+2720_Mol_114
 69.541-0.975 20 8 9.9 31 22 42 1950 12.04 valt 59.84+0.66 y 3 r 20 10 9,05 31 31 37,3 - 6.9 - - 20081+3122_ON_1
 73.062+1.797 20 6 17.14 35 50 31.9 1950 0.6 valt 59.84+0.66 y 0 r 20 8 9,7 35 59 20 - 2.5 - - 20062+3550_Mol_116
 75.772+0.343 20 19 52.4 37 17 10.38 1950 3.8 valt - y 3 r 20 21 44,41 31 26 48,3 - 4.13 - - 20198+3716_ON_2
 77.462+1.759 20 18 50.84 39 28 18.2 1950 3 valt - - - - 20 20 39,3 39 37 52 - 2.0 - - 20188+3928_Mol_121
 78.122+3.636 20 12 40.2 41 4 24.41 1950 -3.5 valt 78.10+3.64 y 2 - 20 14 25,15 41 13 35,8 - 2.62 - - 20126+4104_Mol_119
 78.983+0.349 20 29 24.39 39 53 5.9 1950 5.5 valt - - - - 20 31 13,7 40 3 17 - 20.7 - - 20293+3952
 81.664+0.552 20 37 7.6 42 8 46 1950 -2.47 valt - - - - 20 38 54,5 42 19 23,4 - 99.0 - - DR21-West_
 81.674+0.54 20 37 12.6 42 8 46 1950 -3.67 valt - - - - 20 38 59,51 42 19 23,7 - 32.0 - - DR21_
 81.722+0.572 20 37 13.8 42 12 13 1950 0.36 valt 81.72+0.57 - - - 20 39 0,62 42 22 50,8 - 211. - - DR21(OH),W75(OH)
 81.767+0.596 20 37 16.7 42 15 15 1950 -5.22 valt 81.76+0.59 y 2 - 20 39 3,45 42 25 52,9 - 22.0 - - W75S(3)
 81.877+0.784 20 36 50.4 42 27 23 1950 8.92 valt 81.87+0.78 y 3 r 20 38 36,74 42 37 59,4 - 23.1 - - W75N(0,22"),W75N_OH
 valttsXXX 20 37 15.26 42 15 5.2 1950 -4.6 valt 81.76+0.59 y 2 - 20 39 2 42 25 43 - 10.5 - - DR21N
 94.259-0.411 21 30 46.7 50 48 55.59 1950 -47.9 valt - y 1 r 21 32 30,77 51 2 14,9 - 0.94 - - 21307+5049_Mol_136
 99.982+4.17_21 39 10.3 - 58 2 29 1950 -0.5 valt - y 1 r 21 40 42,28 58 16 9,7 - 9.0 - - 21393+5802_21391+5802_IC1396N__,Mol_138,LDN1121,HH_589A,B,C,_590,_594,_592,_593,_777
 102.641+15.784 20 38 41 67 50 33 1950 0.69 valt - y 0 - 21 39 7,96 68 1 13,4 - 12.3 - - 20386+6751_L1157_B1,HH_375
 105.469+9.828 21 42 40 65 52 57 1950 -6.4 valt - y 0 - 21 43 49,39 66 6 45,9 - 16.0 - - 21426+6556_R146,NGC7129,GGD_35_A,B,C,GGD_32-35
 106.797+5.312 22 17 41.2 63 3 43 1950 -8.22 valt - y 2 - 22 19 18,25 63 18 48,3 - 12.0 - - 22176+6303_S140_IRS1,LDN1204,HH_615,_617
 108.596+0.493 22 50 38.76 59 44 58.2 1950 -51.3 valt - y 0 r 22 52 38,6 60 0 56 - 3 - - 22506+5944_Mol_151
 110.093-0.065 23 3 19.82 59 51 55.3 1950 -54.1 valt - y 2 r 23 5 25,7 60 8 7,9 - 13.0 - - 23033+5951
 111.236-1.238 23 15 8.7 59 12 25.2 1950 -52.3 valt - y 0 r 23 17 21 59 28 49 - 9.0 - - 23151+5912
 111.542+0.777 23 11 36.7 61 11 49 1950 -57.35 valt - y 2 - 23 13 45,34 61 28 9,7 - 52.0 - - 23116+6111_NGC7538_IR,S158
 114.513-0.535 23 38 20.9 60 53 52.84 1950 -52 valt - y 0 r 23 40 43,83 61 10 30,9 - 0.55 - - 23382+6053_23385+6053__Mol_160
 32.97+0.04 18 51 23.000 +00 03 46.00 2000 91.7 pest - - - - 18 51 23.000 +00 03 46.00 27.00 - 4.7 1 18488+0000_
 33.09-0.07 18 51 58.900 +00 07 27.00 2000 96.0 pest - - - - 18 51 58.900 +00 07 27.00 30.00 - 4.6 1 18494+0002_
 33.13-0.09 18 52 07.100 +00 07 56.00 2000 73.0 pest - - - - 18 52 07.100 +00 07 56.00 12.40 - 5.2 1 18495-0004_
 33.40+0.01 18 52 10.600 +00 25 09.00 2000 105.0 pest - - - - 18 52 10.600 +00 25 09.00 20.00 - 4.5 3 18497+0022_
 33.64-0.21 18 53 28.700 +00 31 58.00 2000 60.3 pest - - - - 18 53 28.700 +00 31 58.00 108.70 - 5.6 1 18509+0027_
 33.68-0.26 18 53 45.200 +00 32 47.00 2000 62.6 pest - - - - 18 53 45.200 +00 32 47.00 68.00 - 5.6 1 18512+0029_
 33.74-0.15 18 53 26.900 +00 39 01.00 2000 53.6 pest - - - - 18 53 26.900 +00 39 01.00 1.40 - 5.9 2 18509+0035_
 33.86+0.01 18 53 05.200 +00 49 36.00 2000 64.0 pest - - - - 18 53 05.200 +00 49 36.00 3.00 - 5.5 2 18504-0044_
 33.97-0.00 18 53 24.100 +00 55 13.00 2000 59.0 pest - - - - 18 53 24.100 +00 55 13.00 3.90 - 5.7 2 18508+0052_
 34.10+0.01 18 53 31.900 +01 02 26.00 2000 55.9 pest - - - - 18 53 31.900 +01 02 26.00 4.80 - 5.8 1 18509-0058_
 34.24+0.13 18 53 21.500 +01 13 43.00 2000 55.0 pest - - - - 18 53 21.500 +01 13 43.00 20.00 - 5.8 1 18507+0110_
 34.39+0.24 18 53 21.500 +01 24 09.00 2000 55.8 pest y - - - 18 53 21.500 +01 24 09.00 27.00 - 5.8 2 18507+0121_
 34.74-0.09 18 55 03.400 +01 34 17.00 2000 52.9 pest - - - - 18 55 03.400 +01 34 17.00 9.70 - 5.9 2 18526+0130_
 34.78-1.38 18 59 44.700 +01 01 12.00 2000 46.9 pest - - - - 18 59 44.700 +01 01 12.00 31.00 - 6.2 2 18572+0057_
 35.02+0.35 18 54 00.600 +02 00 50.00 2000 44.0 pest y - - - 18 54 00.600 +02 00 50.00 56.00 - 6.3 2 18515+0157_
 35.20-1.74 19 01 45.600 +01 13 28.00 2000 43.5 pest - - - - 19 01 45.600 +01 13 28.00 560.00 - 6.4 1 18592+0108_
 35.20-0.74 18 58 12.700 +01 40 50.00 2000 28.0 pest y - - - 18 58 12.700 +01 40 50.00 125.00 - 7.0 1 18556+0136_
 35.79-0.17 18 57 16.100 +02 27 44.00 2000 60.8 pest - - - - 18 57 16.100 +02 27 44.00 24.50 - 5.7 1 18547+0223_
 36.10+0.56 18 55 15.600 +03 04 42.00 2000 73.0 pest y n - - 18 55 15.600 +03 04 42.00 19.00 - 5.4 1 18527+0301_
 36.70+0.09 18 58 00.900 +03 23 30.00 2000 53.3 pest - - - - 18 58 00.900 +03 23 30.00 8.60 - 6.0 1 18554+0319_
 37.02-0.03 18 58 59.900 +03 37 40.00 2000 78.8 pest - - - - 18 58 59.900 +03 37 40.00 7.30 - 5.3 3 18563+0332_
 37.40+1.52 18 54 10.500 +04 40 49.00 2000 41.1 pest - - - - 18 54 10.500 +04 40 49.00 279.00 - 6.5 2 18517+0437_
 37.47-0.11 19 00 06.700 +03 59 27.00 2000 58.4 pest y - - - 19 00 06.700 +03 59 27.00 12.50 - 5.9 - _
 37.52-0.10 19 00 14.400 +04 02 35.00 2000 62.6 pest - - - - 19 00 14.400 +04 02 35.00 5.70 - 5.8 1 18577+0358_
 37.54+0.21 18 59 11.600 +04 12 08.00 2000 83.7 pest - - - - 18 59 11.600 +04 12 08.00 6.60 - 5.2 1 18566+0408_
 37.60+0.42 18 58 28.500 +04 20 34.00 2000 85.8 pest - - - - 18 58 28.500 +04 20 34.00 24.30 - 5.1 1 18559+0416_
 38.03-0.30 19 01 50.000 +04 23 54.00 2000 55.7 pest - - - - 19 01 50.000 +04 23 54.00 18.60 - 6.0 1 18593+0419_
 38.10-0.21 19 01 47.600 +04 30 32.00 2000 69.4 pest - - - - 19 01 47.600 +04 30 32.00 2.30 - 5.6 2 18592+0426_
 38.20-0.08 19 01 22.800 +04 39 10.00 2000 79.8 pest - - - - 19 01 22.800 +04 39 10.00 8.40 - 5.3 - _
 38.26-0.08 19 01 28.700 +04 42 02.00 2000 15.4 pest - - - - 19 01 28.700 +04 42 02.00 7.90 - 7.7 1 18590+0437_
 38.91-0.35 19 03 40.000 +05 09 29.00 2000 32.3 pest - - - - 19 03 40.000 +05 09 29.00 5.40 - 6.9 1 19012+0505_
 39.10+0.48 19 00 59.500 +05 42 28.00 2000 15.3 pest y - - - 19 00 59.500 +05 42 28.00 15.30 - 7.7 1 18585+0538_
 40.25-0.19 19 05 40.600 +06 26 08.00 2000 74.0 pest - - - - 19 05 40.600 +06 26 08.00 18.00 - 5.5 2 19031+0621_
 40.41+0.70 19 02 37.900 +06 58 25.00 2000 15.6 pest - - - - 19 02 37.900 +06 58 25.00 18.00 - 7.7 1 19002+0654_
 40.62-0.14 19 06 01.700 +06 46 25.00 2000 31.0 pest - - - - 19 06 01.700 +06 46 25.00 17.00 - 7.0 1 19035+0641_
 41.10-0.22 19 07 13.800 +07 09 44.00 2000 63.4 pest - - - - 19 07 13.800 +07 09 44.00 3.70 - 5.9 1 19048+0705_
 41.21-0.19 19 07 19.600 +07 16 45.00 2000 57.1 pest - - - - 19 07 19.600 +07 16 45.00 3.20 - 6.1 1 19049+0712_
 41.34-0.14 19 07 21.870 +07 25 17.34 2000 14.0 pest - - - - 19 07 21.870 +07 25 17.34 51.00 - 7.8 1 19049+0720_
 42.07+0.24 19 07 20.800 +08 14 12.00 2000 12.5 pest - - - - 19 07 20.800 +08 14 12.00 12.00 - 7.9 - _
 43.02-0.44 19 11 36.000 +08 46 03.00 2000 54.8 pest y - - - 19 11 36.000 +08 46 03.00 10.00 - 6.2 1 19092+0841_
 43.15+0.02 19 10 09.700 +09 05 35.00 2000 13.0 pest y - - - 19 10 09.700 +09 05 35.00 26.00 - 7.9 2 19078+0901_
 43.80-0.13 19 11 55.100 +09 36 00.00 2000 40.0 pest - - - - 19 11 55.100 +09 36 00.00 144.00 - 6.7 1 19095+0930_
 43.87-0.77 19 14 23.400 +09 22 14.00 2000 47.4 pest - - - - 19 14 23.400 +09 22 14.00 34.00 - 6.5 1 19120+0917_
 45.07+0.13 19 13 22.400 +10 50 45.00 2000 58.0 pest y y 0 r 19 13 22.400 +10 50 45.00 33.00 - 6.2 1 19110+1045_
 45.44+0.07 19 14 17.400 +11 08 45.00 2000 50.0 pest y y 1 r 19 14 17.400 +11 08 45.00 1.90 - 6.4 2 19120+1103_
 45.47+0.13 19 14 07.800 +11 12 01.00 2000 65.0 pest - - - - 19 14 07.800 +11 12 01.00 7.00 - 6.0 1 19117+1107_
 45.49+0.13 19 14 10.100 +11 13 05.00 2000 57.0 pest - - - - 19 14 10.100 +11 13 05.00 13.40 - 6.2 1 19117+1107_
 49.03-1.06 19 25 18.500 +13 46 59.00 2000 35.5 pest - - - - 19 25 18.500 +13 46 59.00 21.00 - 7.0 1 19230+1341_
 49.38+0.33 19 20 53.300 +14 45 41.00 2000 -12.4 pest - - - - 19 20 53.300 +14 45 41.00 13.00 - 9.3 2 19186+1440_
 49.47-0.37 19 23 39.821 +14 31 04.47 2000 64.0 pest y - - - 19 23 39.821 +14 31 04.47 12.00 - 6.1 1 19213+1424_
 49.49-0.39 19 23 44.500 +14 30 31.00 2000 59.0 pest y y 1 - 19 23 44.500 +14 30 31.00 850.00 - 6.3 2 19213+1424_
 49.55-0.25 19 23 23.500 +14 37 52.00 2000 62.8 pest - n - - 19 23 23.500 +14 37 52.00 29.00 - 6.2 2 19211+1432_
 49.57-0.38 19 23 53.600 +14 34 54.00 2000 59.3 pest - - - - 19 23 53.600 +14 34 54.00 482.00 - 6.3 1 19216+1429_
 49.66-0.45 19 24 19.700 +14 38 02.00 2000 59.6 pest - - - - 19 24 19.700 +14 38 02.00 10.00 - 6.2 1 19220+1432_
 50.00+0.59 19 21 10.500 +15 25 42.00 2000 -5.0 pest - - - - 19 21 10.500 +15 25 42.00 6.50 - 8.8 1 19189+1520_
 50.29+0.69 19 21 22.200 +15 43 43.00 2000 29.9 pest - - - - 19 21 22.200 +15 43 43.00 2.80 - 7.2 2 19191+1538_
 52.66-1.09 19 32 35.300 +16 57 33.00 2000 65.0 pest - - - - 19 32 35.300 +16 57 33.00 10.00 - 6.2 2 19326+1656_
 53.01+0.12 19 28 49.900 +17 51 14.00 2000 10.0 pest y - - - 19 28 49.900 +17 51 14.00 3.30 - 8.1 2 19266+1745_
 53.13+0.08 19 29 13.800 +17 56 15.00 2000 23.8 pest - - - - 19 29 13.800 +17 56 15.00 1.90 - 7.5 1 19270+1750_
 53.62+0.02 19 30 25.300 +18 20 20.00 2000 18.7 pest - - - - 19 30 25.300 +18 20 20.00 6.30 - 7.7 1 19282+1814_
 58.75+0.65 19 38 43.900 +23 07 54.00 2000 34.0 pest - - - - 19 38 43.900 +23 07 54.00 2.80 - 7.2 2 19366+2301_
 59.78+0.06 19 43 11.248 +23 44 03.34 2000 25.0 pest y y 2 - 19 43 11.248 +23 44 03.34 42.00 - 7.5 1 19410+2336_
